Time,PressureIn,PressureOut,PressureDifference
2022-05-26 09:08:47.247,0,-0.11,-0.11
2022-05-26 09:08:57.262,0,-0.11,-0.11
2022-05-26 09:09:07.280,0,-0.08,-0.08
2022-05-26 09:09:17.295,0,-0.08,-0.08
2022-05-26 09:09:27.309,0,-0.08,-0.08
2022-05-26 09:09:37.324,0.04,-0.08,-0.11
2022-05-26 09:09:47.338,0,-0.11,-0.11
2022-05-26 09:09:57.353,0,-0.11,-0.11
2022-05-26 09:10:07.367,0,-0.08,-0.08
2022-05-26 09:10:17.382,0,-0.11,-0.11
2022-05-26 09:10:27.397,0,-0.08,-0.08
2022-05-26 09:10:37.411,0,-0.08,-0.08
2022-05-26 09:10:47.426,0.04,-0.08,-0.11
2022-05-26 09:10:57.440,0,-0.08,-0.08
2022-05-26 09:11:07.459,0,-0.08,-0.08
2022-05-26 09:11:17.474,0,-0.08,-0.08
2022-05-26 09:11:27.488,0.04,-0.11,-0.15
2022-05-26 09:11:37.503,0,-0.08,-0.08
2022-05-26 09:11:47.517,0.04,-0.08,-0.11
2022-05-26 09:11:57.532,0,-0.08,-0.08
2022-05-26 09:12:07.547,0,-0.08,-0.08
2022-05-26 09:12:17.561,0,-0.08,-0.08
2022-05-26 09:12:27.576,0,-0.11,-0.11
2022-05-26 09:12:37.590,0,-0.08,-0.08
2022-05-26 09:12:47.605,0,-0.11,-0.11
2022-05-26 09:12:57.619,0,-0.08,-0.08
2022-05-26 09:13:07.638,0,-0.08,-0.08
2022-05-26 09:13:17.652,0,-0.11,-0.11
2022-05-26 09:13:27.667,0,-0.08,-0.08
2022-05-26 09:13:37.681,0,-0.08,-0.08
2022-05-26 09:13:47.696,0.04,-0.08,-0.11
2022-05-26 09:13:57.710,0,-0.08,-0.08
2022-05-26 09:14:07.725,0,-0.08,-0.08
2022-05-26 09:14:17.739,0,-0.08,-0.08
2022-05-26 09:14:27.754,0.04,-0.08,-0.11
2022-05-26 09:14:37.768,0.04,-0.08,-0.11
2022-05-26 09:14:47.783,0,-0.08,-0.08
2022-05-26 09:14:57.798,0,-0.08,-0.08
2022-05-26 09:15:07.817,0.04,-0.08,-0.11
2022-05-26 09:15:17.831,0,-0.11,-0.11
2022-05-26 09:15:27.846,0,-0.11,-0.11
2022-05-26 09:15:37.860,0.04,-0.11,-0.15
2022-05-26 09:15:47.875,0,-0.08,-0.08
2022-05-26 09:15:57.889,0,-0.08,-0.08
2022-05-26 09:16:07.904,0.04,-0.08,-0.11
2022-05-26 09:16:17.918,0,-0.08,-0.08
2022-05-26 09:16:27.933,0.04,-0.08,-0.11
2022-05-26 09:16:37.947,0,-0.11,-0.11
2022-05-26 09:16:47.962,0.04,-0.11,-0.15
2022-05-26 09:16:57.976,0.04,-0.08,-0.11
2022-05-26 09:17:07.994,0,-0.08,-0.08
2022-05-26 09:17:18.009,0,-0.08,-0.08
2022-05-26 09:17:28.023,0,-0.08,-0.08
2022-05-26 09:17:38.038,0,-0.08,-0.08
2022-05-26 09:17:48.053,0.04,-0.08,-0.11
2022-05-26 09:17:58.067,0,-0.08,-0.08
2022-05-26 09:18:08.082,0.04,-0.08,-0.11
2022-05-26 09:18:18.081,0,-0.11,-0.11
2022-05-26 09:18:28.097,0,-0.11,-0.11
2022-05-26 09:18:38.112,0,-0.08,-0.08
2022-05-26 09:18:48.126,0.04,-0.08,-0.11
2022-05-26 09:18:58.142,0,-0.08,-0.08
2022-05-26 09:19:08.161,0.04,-0.08,-0.11
2022-05-26 09:19:18.175,0,-0.08,-0.08
2022-05-26 09:19:28.190,0.04,-0.08,-0.11
2022-05-26 09:19:38.204,0.04,-0.08,-0.11
2022-05-26 09:19:48.219,0,-0.08,-0.08
2022-05-26 09:19:58.233,0,-0.08,-0.08
2022-05-26 09:20:08.248,0.04,-0.08,-0.11
2022-05-26 09:20:18.262,0,-0.08,-0.08
2022-05-26 09:20:28.277,0.04,-0.08,-0.11
2022-05-26 09:20:38.292,0,-0.08,-0.08
2022-05-26 09:20:48.306,0.04,-0.08,-0.11
2022-05-26 09:20:58.321,0,-0.08,-0.08
2022-05-26 09:21:08.324,0.04,-0.08,-0.11
2022-05-26 09:21:18.338,0,-0.08,-0.08
2022-05-26 09:21:28.354,0.04,-0.08,-0.11
2022-05-26 09:21:38.369,0,-0.08,-0.08
2022-05-26 09:21:48.383,0,-0.08,-0.08
2022-05-26 09:21:58.398,0.04,-0.08,-0.11
2022-05-26 09:22:08.412,0.04,-0.08,-0.11
2022-05-26 09:22:18.427,0.04,-0.08,-0.11
2022-05-26 09:22:28.441,0.04,-0.08,-0.11
2022-05-26 09:22:38.460,0.04,-0.08,-0.11
2022-05-26 09:22:48.475,0.04,-0.08,-0.11
2022-05-26 09:22:58.489,0.04,-0.08,-0.11
2022-05-26 09:23:08.508,0.04,-0.08,-0.11
2022-05-26 09:23:18.523,0.04,-0.08,-0.11
2022-05-26 09:23:28.537,0.04,-0.08,-0.11
2022-05-26 09:23:38.552,0,-0.08,-0.08
2022-05-26 09:23:48.566,0.04,-0.08,-0.11
2022-05-26 09:23:58.581,0.04,-0.08,-0.11
2022-05-26 09:24:08.595,0.04,-0.08,-0.11
2022-05-26 09:24:18.610,0.04,-0.08,-0.11
2022-05-26 09:24:28.624,0.04,-0.08,-0.11
2022-05-26 09:24:38.639,0,-0.08,-0.08
2022-05-26 09:24:48.653,0.04,-0.11,-0.15
2022-05-26 09:24:58.658,0.04,-0.08,-0.11
2022-05-26 09:25:08.676,0,-0.08,-0.08
2022-05-26 09:25:18.691,0.04,-0.08,-0.11
2022-05-26 09:25:28.705,0.04,-0.08,-0.11
2022-05-26 09:25:38.720,0,-0.11,-0.11
2022-05-26 09:25:48.734,0,-0.08,-0.08
2022-05-26 09:25:58.749,0,-0.08,-0.08
2022-05-26 09:26:08.763,0,-0.08,-0.08
2022-05-26 09:26:18.778,0.04,-0.08,-0.11
2022-05-26 09:26:28.792,0.04,-0.08,-0.11
2022-05-26 09:26:38.807,0,-0.08,-0.08
2022-05-26 09:26:48.822,0.04,-0.08,-0.11
2022-05-26 09:26:58.836,0.04,-0.08,-0.11
2022-05-26 09:27:08.854,0.04,-0.08,-0.11
2022-05-26 09:27:18.869,0.04,-0.08,-0.11
2022-05-26 09:27:28.883,0,-0.08,-0.08
2022-05-26 09:27:38.898,0.04,-0.08,-0.11
2022-05-26 09:27:48.912,0.04,-0.08,-0.11
2022-05-26 09:27:58.927,0.04,-0.08,-0.11
2022-05-26 09:28:08.941,0.04,-0.08,-0.11
2022-05-26 09:28:18.956,0.04,-0.08,-0.11
2022-05-26 09:28:28.970,0.04,-0.08,-0.11
2022-05-26 09:28:38.985,0.04,-0.08,-0.11
2022-05-26 09:28:48.999,0.04,-0.08,-0.11
2022-05-26 09:28:59.014,0,-0.08,-0.08
2022-05-26 09:29:09.033,0.04,-0.08,-0.11
2022-05-26 09:29:19.048,0.04,-0.08,-0.11
2022-05-26 09:29:29.063,0.04,-0.08,-0.11
2022-05-26 09:29:39.077,0.04,-0.11,-0.15
2022-05-26 09:29:49.092,0.04,-0.08,-0.11
2022-05-26 09:29:59.107,0.04,-0.08,-0.11
2022-05-26 09:30:09.121,0.04,-0.04,-0.08
2022-05-26 09:30:19.136,0.04,-0.08,-0.11
2022-05-26 09:30:29.150,0,-0.08,-0.08
2022-05-26 09:30:39.165,0.04,-0.08,-0.11
2022-05-26 09:30:49.179,0,-0.08,-0.08
2022-05-26 09:30:59.194,0.04,-0.08,-0.11
2022-05-26 09:31:09.210,0.04,-0.08,-0.11
2022-05-26 09:31:19.224,0.04,-0.08,-0.11
2022-05-26 09:31:29.239,0.04,-0.08,-0.11
2022-05-26 09:31:39.254,0,-0.08,-0.08
2022-05-26 09:31:49.269,0.04,-0.08,-0.11
2022-05-26 09:31:59.284,0.04,-0.08,-0.11
2022-05-26 09:32:09.292,0.04,-0.08,-0.11
2022-05-26 09:32:19.306,0.04,-0.11,-0.15
2022-05-26 09:32:29.321,0.04,-0.08,-0.11
2022-05-26 09:32:39.335,0.04,-0.08,-0.11
2022-05-26 09:32:49.350,0,-0.08,-0.08
2022-05-26 09:32:59.364,0,-0.08,-0.08
2022-05-26 09:33:09.383,0.04,-0.08,-0.11
2022-05-26 09:33:19.397,0,-0.04,-0.04
2022-05-26 09:33:29.412,0.04,-0.08,-0.11
2022-05-26 09:33:39.426,0.04,-0.08,-0.11
2022-05-26 09:33:49.441,0,-0.08,-0.08
2022-05-26 09:33:59.455,0.04,-0.08,-0.11
2022-05-26 09:34:09.470,0.04,-0.08,-0.11
2022-05-26 09:34:19.484,0.04,-0.04,-0.08
2022-05-26 09:34:29.499,0,-0.08,-0.08
2022-05-26 09:34:39.513,0.04,-0.11,-0.15
2022-05-26 09:34:49.528,0.04,-0.08,-0.11
2022-05-26 09:34:59.543,0,-0.08,-0.08
2022-05-26 09:35:09.552,0.04,-0.08,-0.11
2022-05-26 09:35:19.567,0,-0.08,-0.08
2022-05-26 09:35:29.582,0.04,-0.08,-0.11
2022-05-26 09:35:39.596,0,-0.08,-0.08
2022-05-26 09:35:49.611,0.04,-0.08,-0.11
2022-05-26 09:35:59.625,0.04,-0.08,-0.11
2022-05-26 09:36:09.640,0.04,-0.08,-0.11
2022-05-26 09:36:19.654,0.04,-0.08,-0.11
2022-05-26 09:36:29.669,0.04,-0.08,-0.11
2022-05-26 09:36:39.683,0.04,-0.08,-0.11
2022-05-26 09:36:49.698,-0.04,-0.08,-0.04
2022-05-26 09:36:59.712,0,-0.08,-0.08
2022-05-26 09:37:09.730,0,-0.08,-0.08
2022-05-26 09:37:19.745,0.04,-0.04,-0.08
2022-05-26 09:37:29.760,0.04,-0.08,-0.11
2022-05-26 09:37:39.774,0.04,-0.08,-0.11
2022-05-26 09:37:49.789,0.04,-0.08,-0.11
2022-05-26 09:37:59.803,0.04,-0.08,-0.11
2022-05-26 09:38:09.818,0,-0.08,-0.08
2022-05-26 09:38:19.832,0.04,-0.08,-0.11
2022-05-26 09:38:29.847,0,-0.08,-0.08
2022-05-26 09:38:39.861,0,-0.04,-0.04
2022-05-26 09:38:49.876,0,-0.08,-0.08
2022-05-26 09:38:59.890,0,-0.08,-0.08
2022-05-26 09:39:09.909,0.04,-0.08,-0.11
2022-05-26 09:39:19.924,0.04,-0.08,-0.11
2022-05-26 09:39:29.938,0.04,-0.08,-0.11
2022-05-26 09:39:39.953,0.08,-0.08,-0.15
2022-05-26 09:39:49.970,0,-0.08,-0.08
2022-05-26 09:39:59.984,0.04,-0.08,-0.11
2022-05-26 09:40:09.999,0.04,-0.08,-0.11
2022-05-26 09:40:20.013,0.04,-0.08,-0.11
2022-05-26 09:40:30.028,0,-0.08,-0.08
2022-05-26 09:40:40.042,0.04,-0.08,-0.11
2022-05-26 09:40:50.057,0,-0.08,-0.08
2022-05-26 09:41:00.073,0,-0.11,-0.11
2022-05-26 09:41:10.075,0.04,-0.08,-0.11
2022-05-26 09:41:20.090,0.04,-0.11,-0.15
2022-05-26 09:41:30.105,0.04,-0.08,-0.11
2022-05-26 09:41:40.119,0.04,-0.08,-0.11
2022-05-26 09:41:50.134,0.04,-0.08,-0.11
2022-05-26 09:42:00.148,0.04,-0.08,-0.11
2022-05-26 09:42:10.164,0.04,-0.08,-0.11
2022-05-26 09:42:20.179,0.08,-0.08,-0.15
2022-05-26 09:42:30.193,0,-0.08,-0.08
2022-05-26 09:42:40.208,0.04,-0.08,-0.11
2022-05-26 09:42:50.222,0,-0.11,-0.11
2022-05-26 09:43:00.237,0,-0.08,-0.08
2022-05-26 09:43:10.255,0.04,-0.08,-0.11
2022-05-26 09:43:20.270,0,-0.08,-0.08
2022-05-26 09:43:30.285,0.04,-0.08,-0.11
2022-05-26 09:43:40.299,0.04,-0.08,-0.11
2022-05-26 09:43:50.314,0.04,-0.08,-0.11
2022-05-26 09:44:00.328,0.04,-0.08,-0.11
2022-05-26 09:44:10.343,0.04,-0.08,-0.11
2022-05-26 09:44:20.357,0.04,-0.08,-0.11
2022-05-26 09:44:30.373,0.04,-0.04,-0.08
2022-05-26 09:44:40.388,0,-0.08,-0.08
2022-05-26 09:44:50.402,0.04,-0.08,-0.11
2022-05-26 09:45:00.411,0.04,-0.08,-0.11
2022-05-26 09:45:10.429,0.04,-0.08,-0.11
2022-05-26 09:45:20.444,0.04,-0.04,-0.08
2022-05-26 09:45:30.459,0.04,-0.08,-0.11
2022-05-26 09:45:40.473,0.04,-0.08,-0.11
2022-05-26 09:45:50.488,0,-0.04,-0.04
2022-05-26 09:46:00.503,0.04,-0.08,-0.11
2022-05-26 09:46:10.518,0.04,-0.04,-0.08
2022-05-26 09:46:20.532,0.04,-0.08,-0.11
2022-05-26 09:46:30.547,0.04,-0.08,-0.11
2022-05-26 09:46:40.561,0.04,-0.08,-0.11
2022-05-26 09:46:50.569,0.04,-0.08,-0.11
2022-05-26 09:47:00.584,0,-0.04,-0.04
2022-05-26 09:47:10.602,0.04,-0.08,-0.11
2022-05-26 09:47:20.616,0.04,-0.08,-0.11
2022-05-26 09:47:30.631,0.04,-0.08,-0.11
2022-05-26 09:47:40.645,0.04,-0.04,-0.08
2022-05-26 09:47:50.660,0.04,-0.08,-0.11
2022-05-26 09:48:00.674,0.04,-0.08,-0.11
2022-05-26 09:48:10.689,0.04,-0.08,-0.11
2022-05-26 09:48:20.703,0.04,-0.08,-0.11
2022-05-26 09:48:30.718,0.04,-0.08,-0.11
2022-05-26 09:48:40.733,0,-0.08,-0.08
2022-05-26 09:48:50.747,0.04,-0.08,-0.11
2022-05-26 09:49:00.762,0.04,-0.04,-0.08
2022-05-26 09:49:10.780,0.04,-0.08,-0.11
2022-05-26 09:49:20.794,0.04,-0.08,-0.11
2022-05-26 09:49:30.809,0.04,-0.08,-0.11
2022-05-26 09:49:40.823,-1.65,-1.25,0.4
2022-05-26 09:49:50.839,-2.26,-1.7,0.56
2022-05-26 09:50:00.853,-2.26,-1.74,0.52
2022-05-26 09:50:10.868,-2.26,-1.74,0.52
2022-05-26 09:50:20.882,-2.3,-1.74,0.56
2022-05-26 09:50:30.897,-2.3,-1.74,0.56
2022-05-26 09:50:40.911,-2.3,-1.74,0.56
2022-05-26 09:50:50.926,-2.26,-1.7,0.56
2022-05-26 09:51:00.945,-2.26,-1.7,0.56
2022-05-26 09:51:10.959,-2.26,-1.7,0.56
2022-05-26 09:51:20.974,-2.22,-1.7,0.52
2022-05-26 09:51:30.988,-2.22,-1.7,0.52
2022-05-26 09:51:41.003,-2.22,-1.66,0.56
2022-05-26 09:51:51.017,-2.22,-1.66,0.56
2022-05-26 09:52:01.032,-2.22,-1.66,0.56
2022-05-26 09:52:11.046,-2.22,-1.66,0.56
2022-05-26 09:52:21.061,-2.19,-1.62,0.56
2022-05-26 09:52:31.075,-2.19,-1.62,0.56
2022-05-26 09:52:41.090,-2.19,-1.62,0.56
2022-05-26 09:52:51.104,-2.19,-1.62,0.56
2022-05-26 09:53:01.123,-2.19,-1.62,0.56
2022-05-26 09:53:11.138,-2.19,-1.62,0.56
2022-05-26 09:53:21.152,-2.15,-1.59,0.56
2022-05-26 09:53:31.167,-2.15,-1.59,0.56
2022-05-26 09:53:41.181,-2.15,-1.59,0.56
2022-05-26 09:53:51.196,-2.15,-1.59,0.56
